Vac,Amp ac,pwr W
234,2.104,381.2
233.9,2.102,380.7
234,2.1,380.2
233.9,2.099,379.4
233.9,2.104,379.5
234,2.098,379.2
234.1,2.098,379
233.9,2.1,378.7
233.9,2.096,381.8
233.9,2.094,377.7
233.9,2.094,377.7
234.1,2.091,377.6
234.1,2.094,377.5
234.1,2.094,377.6
234.2,2.09,377.5
234.1,2.09,376.9
234.1,2.084,376.7
233.9,2.084,375.8
234,2.085,375.7
234.1,2.083,375.7
234.1,2.084,375.5
234.2,2.081,378.3
234.3,2.079,375.3
234.2,2.08,375.3
234.2,2.081,374.8
234.1,2.079,374.5
233.8,2.083,374.7
233.8,2.08,375.1
233.8,2.082,375.2
233.9,2.083,375.3
233.9,2.082,375.7
233.9,2.089,376
233.9,2.086,376.1
233.9,2.091,376.8
233.9,2.106,376.2
233.7,2.094,376.2
233.9,2.094,377.5
233.9,2.093,377.7
234.1,2.093,378
234,2.097,377.8
234.1,2.097,378.2
233.8,2.097,377.9
233.9,2.098,378.3
233.9,2.098,378.6
233.9,2.098,378.2
234.2,2.094,378.6
234.1,2.086,377.5
234,2.086,377
234,2.087,376.4
234.2,2.085,376.7
234.2,2.086,376.2
234.1,2.086,376.1
234,2.086,375.9
234,2.086,376
234.1,2.088,375.7
234,2.082,375.7
233.8,2.082,375.2
234.1,2.081,375
234.1,2.083,374.9
234.1,2.08,374.9
234,2.1,379.4
234,2.085,378.6
234,2.082,376
234,2.086,375.9
234,2.084,375.7
234.1,2.088,375.8
234.1,2.085,375.4
234,2.084,376
234.3,2.084,376
233.9,2.084,375.7
233.8,2.088,375.9
233.6,2.086,375.8
233.6,2.09,376
233.7,2.107,381.1
233.7,2.089,379.5
233.9,2.091,376.8
234.1,2.088,377
234.1,2.088,376.6
234.1,2.088,376.3
234,2.088,376
234.1,2.083,376.2
233.8,2.087,375.9
233.9,2.089,375.9
234,2.088,376.5
234,2.091,376.6
234.1,2.091,378
234,2.101,378
234,2.114,381.4
233.9,2.1,378.7
233.8,2.101,379.1
234,2.104,379.6
233.9,2.104,380.1
233.9,2.106,380.2
234,2.107,380.2
233.9,2.103,380.2
234,2.106,380.5
234.1,2.106,380.3
234.2,2.101,379.2
234.2,2.099,379
234.1,2.099,378
233.1,2.099,380.5
233.3,2.087,376.4
233.3,2.085,375.2
233.3,2.08,373.9
233.5,2.079,373.9
233.4,2.078,372.9
233.2,2.074,372.7
233.1,2.077,372.8
233.1,2.082,372.9
233.3,2.085,373.4
233.2,2.086,373.6
233.4,2.081,374.2
233.4,2.089,375
233.2,2.087,375
233.2,2.096,376.8
233.1,2.098,377.4
232.9,2.102,377.8
233,2.105,379.2
232.9,2.105,379.2
232.9,2.111,380.1
232.9,2.113,380.6
232.9,2.119,381.2
232.8,2.116,380.9
233,2.113,381.3
232.9,2.109,381
233,2.112,381.5
232.9,2.135,381.4
232.9,2.118,383.9
233,2.111,381.4
233,2.107,380.3
233,2.104,379.3
233,2.1,378.6
232.9,2.101,377.7
233,2.101,376
232.9,2.087,375.1
233,2.083,375.1
233,2.079,374.4
233.2,2.085,374.9
233.1,2.091,374.6
233.1,2.087,375
233,2.087,375.8
233.1,2.087,376.3
233.1,2.096,376.4
233.2,2.096,377.6
233.4,2.101,377.8
233.2,2.099,377.6
233.3,2.095,377.7
233.2,2.099,377.8
233.3,2.094,378
233.3,2.104,378.3
233.1,2.096,378.3
233.1,2.099,378
233.1,2.127,379.1
233.2,2.104,379.7
233.1,2.106,379.3
233.2,2.107,378.9
233.2,2.101,379
233.3,2.101,379.4
233.2,2.105,379.5
233.2,2.103,379.2
233.2,2.102,378.9
233.3,2.104,379
233.2,2.104,379
233.3,2.1,379.1
233.1,2.104,378.7
233.2,2.104,383.7
233.1,2.107,383.7
233,2.107,378.9
233,2.106,379.3
233,2.104,379.1
233.1,2.107,379.3
233,2.105,379.3
233.2,2.107,379.5
233,2.107,379.2
233.1,2.11,379.8
233.1,2.11,379.8
233.1,2.111,380.2
233.2,2.113,380.5
233.1,2.113,381
233.2,2.111,380.7
233.1,2.107,379.8
233.1,2.107,379.8
233,2.105,379.7
232.9,2.106,379
232.9,2.103,378.2
232.8,2.102,378.2
232.8,2.097,377.6
232.9,2.097,377
233.1,2.094,376.4
233.1,2.091,376.1
233,2.091,375.8
232.9,2.088,375.3
233.1,2.084,375.3
233.1,2.086,374.9
233,2.085,374.7
232.9,2.087,374.8
232.9,2.087,375.2
232.9,2.088,375.1
233.1,2.087,375.7
232.9,2.087,375.8
233,2.088,376
233,2.087,375.5
233,2.085,375.5
232.9,2.088,375.4
233.1,2.093,375.7
232.9,2.09,375.7
232.8,2.09,375.9
232.8,2.089,375.8
232.9,2.089,375.8
233,2.086,375.5
232.9,2.085,375.3
232.8,2.087,375.1
232.9,2.086,375.1
232.9,2.091,376
233,2.088,376
233.1,2.095,376.4
233,2.095,376.7
233.2,2.093,377.1
233.3,2.099,378.3
233.8,2.095,381.9
233.9,2.087,376.6
234,2.082,376.3
234,2.077,375.2
232.9,2.085,373.5
233.3,2.08,374.1
233.1,2.082,374.1
233.3,2.081,374.6
233.3,2.084,374.8
233.2,2.086,375.2
233.1,2.085,374.9
234.1,2.081,375.8
234.2,2.078,376.7
234.4,2.078,376.8
237.3,0.371,59.5
237.5,0.247,36.2
237.5,0.209,27.2
237.3,0.244,28.1
236.8,0.234,33.9
236.9,0.234,31.5
236.9,0.233,31.5
236.8,0.233,31.7
236.8,0.234,31.7
236.7,0.234,31.9
237.3,0.234,31.9
237.3,0.234,31.8
237.3,0.233,31.8
237.4,0.233,31.9
237.5,0.234,31.8
237.6,0.233,31.8
237.4,0.233,31.8
237.4,0.233,31.7
237.4,0.232,31.7
237.3,0.234,30.8
236.5,0.234,30.8
236.7,0.234,31.7
236.6,0.234,31.7
236.7,0.235,31.7
236.8,0.234,31.7
236.8,0.241,31.7
237.2,0.234,32
237.3,0.234,31.9
237.3,0.233,32
237.5,0.235,31.9
237.3,0.234,31.9
237.3,0.234,31.8
237.2,0.235,31.8
237.3,0.233,31.8
236.4,0.233,32
237.4,0.234,32
237.4,0.234,31.8
237.4,0.233,31.7
237,0.234,31.9
237,0.149,31.9
